Estación: ,C19156,LAS PRESITAS. CHINA
1982-06-19,0,CLIC
1982-06-20,0,CLIC
1982-06-21,0,CLIC
1982-06-22,0,CLIC
1982-06-23,0,CLIC
1982-06-24,0,CLIC
1982-06-25,0,CLIC
1982-06-26,0,CLIC
1982-06-27,0,CLIC
1982-06-28,0,CLIC
1982-06-29,0,CLIC
1982-06-30,0,CLIC
1982-07-01,0,CLIC
1982-07-02,0,CLIC
1982-07-03,0,CLIC
1982-07-04,0,CLIC
1982-07-05,0,CLIC
1982-07-06,0,CLIC
1982-07-07,0,CLIC
1982-07-08,0,CLIC
1982-07-09,0,CLIC
1982-07-10,0,CLIC
1982-07-11,0,CLIC
1982-07-12,0,CLIC
1982-07-13,0,CLIC
1982-07-14,0,CLIC
1982-07-15,0,CLIC
1982-07-16,0,CLIC
1982-07-17,0,CLIC
1982-07-18,0,CLIC
1982-07-19,0,CLIC
1982-07-20,0,CLIC
1982-07-21,0,CLIC
1982-07-22,0,CLIC
1982-07-23,0,CLIC
1982-07-24,0,CLIC
1982-07-25,0,CLIC
1982-07-26,0,CLIC
1982-07-27,0,CLIC
1982-07-28,0,CLIC
1982-07-29,0,CLIC
1982-07-30,0,CLIC
1982-07-31,0,CLIC
1982-08-01,0,CLIC
1982-08-02,0,CLIC
1982-08-03,0,CLIC
1982-08-04,0,CLIC
1982-08-05,0,CLIC
1982-08-06,0,CLIC
1982-08-07,0,CLIC
1982-08-08,0,CLIC
1982-08-09,0,CLIC
1982-08-10,0,CLIC
1982-08-11,0,CLIC
1982-08-12,0,CLIC
1982-08-13,0,CLIC
1982-08-14,0,CLIC
1982-08-15,0,CLIC
1982-08-16,0,CLIC
1982-08-17,0,CLIC
1982-08-18,0,CLIC
1982-08-19,0,CLIC
1982-08-20,0,CLIC
1982-08-21,0,CLIC
1982-08-22,0,CLIC
1982-08-23,0,CLIC
1982-08-24,0,CLIC
1982-08-25,0,CLIC
1982-08-26,0,CLIC
1982-08-27,0,CLIC
1982-08-28,0,CLIC
1982-08-29,0,CLIC
1982-08-30,0,CLIC
1982-08-31,0,CLIC
1982-09-01,6,CLIC
1982-09-02,0,CLIC
1982-09-03,0,CLIC
1982-09-04,8,CLIC
1982-09-05,0,CLIC
1982-09-06,0,CLIC
1982-09-07,0,CLIC
1982-09-08,0,CLIC
1982-09-09,0,CLIC
1982-09-10,0,CLIC
1982-09-11,0,CLIC
1982-09-12,0,CLIC
1982-09-13,0,CLIC
1982-09-14,0,CLIC
1982-09-15,28,CLIC
1982-09-16,0,CLIC
1982-09-17,0,CLIC
1982-09-18,0,CLIC
1982-09-19,0,CLIC
1982-09-20,20,CLIC
1982-09-21,0,CLIC
1982-09-22,0,CLIC
1982-09-23,0,CLIC
1982-09-24,0,CLIC
1982-09-25,0,CLIC
1982-09-26,0,CLIC
1982-09-27,0,CLIC
1982-09-28,0,CLIC
1982-09-29,0,CLIC
1982-09-30,0,CLIC
1982-10-01,0,CLIC
1982-10-02,0,CLIC
1982-10-03,0,CLIC
1982-10-04,0,CLIC
1982-10-05,0,CLIC
1982-10-06,7,CLIC
1982-10-07,0,CLIC
1982-10-08,0,CLIC
1982-10-09,18,CLIC
1982-10-10,0,CLIC
1982-10-11,0,CLIC
1982-10-12,0,CLIC
1982-10-13,0,CLIC
1982-10-14,0,CLIC
1982-10-15,0,CLIC
1982-10-16,0,CLIC
1982-10-17,0,CLIC
1982-10-18,0,CLIC
1982-10-19,0,CLIC
1982-10-20,0,CLIC
1982-10-21,0,CLIC
1982-10-22,0,CLIC
1982-10-23,0,CLIC
1982-10-24,0,CLIC
1982-10-25,0,CLIC
1982-10-26,0,CLIC
1982-10-27,0,CLIC
1982-10-28,0,CLIC
1982-10-29,0,CLIC
1982-10-30,0,CLIC
1982-10-31,0,CLIC
1982-11-01,0,CLIC
1982-11-02,15,CLIC
1982-11-03,0,CLIC
1982-11-04,0,CLIC
1982-11-05,0,CLIC
1982-11-06,0,CLIC
1982-11-07,0,CLIC
1982-11-08,0,CLIC
1982-11-09,0,CLIC
1982-11-10,0,CLIC
1982-11-11,0,CLIC
1982-11-12,0,CLIC
1982-11-13,0,CLIC
1982-11-14,0,CLIC
1982-11-15,0,CLIC
1982-11-16,0,CLIC
1982-11-17,0,CLIC
1982-11-18,0,CLIC
1982-11-19,0,CLIC
1982-11-20,0,CLIC
1982-11-21,0,CLIC
1982-11-22,0,CLIC
1982-11-23,2,CLIC
1982-11-24,6,CLIC
1982-11-25,0,CLIC
1982-11-26,0,CLIC
1982-11-27,0,CLIC
1982-11-28,0,CLIC
1982-11-29,0,CLIC
1982-11-30,0,CLIC
1983-09-13,23.5,CLIC
1983-09-14,5.2,CLIC
1983-09-15,0,CLIC
1983-09-16,0,CLIC
1983-09-17,0,CLIC
1983-09-18,0,CLIC
1983-09-19,0,CLIC
1983-09-20,52.5,CLIC
1983-09-21,0,CLIC
1983-09-22,0,CLIC
1983-09-23,0,CLIC
1983-09-24,0,CLIC
1983-09-25,0,CLIC
1983-09-26,0,CLIC
1983-09-27,0,CLIC
1983-09-28,0,CLIC
1983-09-29,0,CLIC
1983-09-30,0,CLIC
1983-10-01,0,CLIC
1983-10-02,0,CLIC
1983-10-03,0,CLIC
1983-10-04,0,CLIC
1983-10-05,0,CLIC
1983-10-06,0,CLIC
1983-10-07,0,CLIC
1983-10-08,0,CLIC
1983-10-09,0,CLIC
1983-10-10,0,CLIC
1983-10-11,8,CLIC
1983-10-12,0,CLIC
1983-10-13,0,CLIC
1983-10-14,0,CLIC
1983-10-15,0,CLIC
1983-10-16,0,CLIC
1983-10-17,0,CLIC
1983-10-18,0,CLIC
1983-10-19,0,CLIC
1983-10-20,8,CLIC
1983-10-21,0,CLIC
1983-10-22,0,CLIC
1983-10-23,0,CLIC
1983-10-24,0,CLIC
1983-10-25,0,CLIC
1983-10-26,0,CLIC
1983-10-27,0,CLIC
1983-10-28,0,CLIC
1983-10-29,0,CLIC
1983-10-30,0,CLIC
1983-10-31,0,CLIC
1983-11-01,0,CLIC
1983-11-02,0,CLIC
1983-11-03,0,CLIC
1983-11-04,0,CLIC
1983-11-05,0,CLIC
1983-11-06,0,CLIC
1983-11-07,0,CLIC
1983-11-08,0,CLIC
1983-11-09,0,CLIC
1983-11-10,0,CLIC
1983-11-11,0,CLIC
1983-11-12,0,CLIC
1983-11-13,1,CLIC
1983-11-14,0,CLIC
1983-11-15,0,CLIC
1983-11-16,0,CLIC
1983-11-17,0,CLIC
1983-11-18,0,CLIC
1983-11-19,0,CLIC
1983-11-20,0,CLIC
1983-11-21,0,CLIC
1983-11-22,0,CLIC
1983-11-23,0,CLIC
1983-11-24,0,CLIC
1983-11-25,0,CLIC
1983-11-26,0,CLIC
1983-11-27,0,CLIC
1983-11-28,0,CLIC
1983-11-29,0,CLIC
1983-11-30,6,CLIC
1983-12-01,5,CLIC
1983-12-02,0,CLIC
1983-12-03,0,CLIC
1983-12-04,0,CLIC
1983-12-05,0,CLIC
1983-12-06,0,CLIC
1983-12-07,0,CLIC
1983-12-08,0,CLIC
1983-12-09,0,CLIC
1983-12-10,0,CLIC
1983-12-11,0,CLIC
1983-12-12,0,CLIC
1983-12-13,0,CLIC
1983-12-14,0,CLIC
1983-12-15,0,CLIC
1983-12-16,0,CLIC
1983-12-17,0,CLIC
1983-12-18,6,CLIC
1983-12-19,2,CLIC
1983-12-20,3,CLIC
1983-12-21,8,CLIC
1983-12-22,1,CLIC
1983-12-23,1,CLIC
1983-12-24,0,CLIC
1983-12-25,0,CLIC
1983-12-26,0,CLIC
1983-12-27,0,CLIC
1983-12-28,0,CLIC
1983-12-29,0,CLIC
1983-12-30,0,CLIC
1983-12-31,0,CLIC
1984-01-01,0,CLIC
1984-01-02,6,CLIC
1984-01-03,8,CLIC
1984-01-04,0,CLIC
1984-01-05,0,CLIC
1984-01-06,1,CLIC
1984-01-07,9,CLIC
1984-01-08,1,CLIC
1984-01-09,0,CLIC
1984-01-10,0,CLIC
1984-01-11,0,CLIC
1984-01-12,0,CLIC
1984-01-13,0,CLIC
1984-01-14,0,CLIC
1984-01-15,2,CLIC
1984-01-16,1,CLIC
1984-01-17,3,CLIC
1984-01-18,0,CLIC
1984-01-19,4,CLIC
1984-01-20,3,CLIC
1984-01-21,0,CLIC
1984-01-22,0,CLIC
1984-01-23,2,CLIC
1984-01-24,35,CLIC
1984-01-25,0,CLIC
1984-01-26,0,CLIC
1984-01-27,0,CLIC
1984-01-28,0,CLIC
1984-01-29,0,CLIC
1984-01-30,55,CLIC
1984-01-31,12,CLIC
1984-02-01,0,CLIC
1984-02-02,0,CLIC
1984-02-03,0,CLIC
1984-02-04,0,CLIC
1984-02-05,0,CLIC
1984-02-06,0,CLIC
1984-02-07,0,CLIC
1984-02-08,0,CLIC
1984-02-09,0,CLIC
1984-02-10,0,CLIC
1984-02-11,0,CLIC
1984-02-12,0,CLIC
1984-02-13,0,CLIC
1984-02-14,0,CLIC
1984-02-15,0,CLIC
1984-02-16,0,CLIC
1984-02-17,0,CLIC
1984-02-18,0,CLIC
1984-02-19,0,CLIC
1984-02-20,0,CLIC
1984-02-21,0,CLIC
1984-02-22,0,CLIC
1984-02-23,0,CLIC
1984-02-24,0,CLIC
1984-02-25,0,CLIC
1984-02-26,0,CLIC
1984-02-27,0,CLIC
1984-02-28,0,CLIC
1984-05-01,0,CLIC
1984-05-02,0,CLIC
1984-05-03,0,CLIC
1984-05-04,0,CLIC
1984-05-05,0,CLIC
1984-05-06,0,CLIC
1984-05-07,23,CLIC
1984-05-08,0,CLIC
1984-05-09,0,CLIC
1984-05-10,0,CLIC
1984-05-11,0,CLIC
1984-05-12,0,CLIC
1984-05-13,0,CLIC
1984-05-14,22,CLIC
1984-05-15,8,CLIC
1984-05-16,3,CLIC
1984-05-17,63,CLIC
1984-05-18,0,CLIC
1984-05-19,0,CLIC
1984-05-20,0,CLIC
1984-05-21,0,CLIC
1984-05-22,0,CLIC
1984-05-23,0,CLIC
1984-05-24,0,CLIC
1984-05-25,0,CLIC
1984-05-26,0.1,CLIC
1984-05-27,0,CLIC
1984-05-28,1,CLIC
1984-05-29,0,CLIC
1984-05-30,0,CLIC
1984-05-31,0,CLIC
1984-06-01,0,CLIC
1984-06-02,0,CLIC
1984-06-03,0,CLIC
1984-06-04,0,CLIC
1984-06-05,0,CLIC
1984-06-06,0,CLIC
1984-06-07,0,CLIC
1984-06-08,0,CLIC
1984-06-09,0,CLIC
1984-06-10,0,CLIC
1984-06-11,0,CLIC
1984-06-12,0,CLIC
1984-06-13,0,CLIC
1984-06-14,0,CLIC
1984-06-15,0,CLIC
1984-06-16,0,CLIC
1984-06-17,0,CLIC
1984-06-18,0,CLIC
1984-06-19,0,CLIC
1984-06-20,0,CLIC
1984-06-21,0,CLIC
1984-06-22,0,CLIC
1984-06-23,0,CLIC
1984-06-24,0,CLIC
1984-06-25,0,CLIC
1984-06-26,0,CLIC
1984-06-27,0,CLIC
1984-06-28,0,CLIC
1984-06-29,0,CLIC
1984-06-30,0,CLIC
1985-01-01,5,CLIC
1985-01-02,0,CLIC
1985-01-03,0,CLIC
1985-01-04,0,CLIC
1985-01-05,0,CLIC
1985-01-06,0,CLIC
1985-01-07,0,CLIC
1985-01-08,0,CLIC
1985-01-09,0,CLIC
1985-01-10,0,CLIC
1985-01-11,8,CLIC
1985-01-12,2,CLIC
1985-01-13,3,CLIC
1985-01-14,5,CLIC
1985-01-15,0,CLIC
1985-01-16,5,CLIC
1985-01-17,0,CLIC
1985-01-18,0,CLIC
1985-01-19,0,CLIC
1985-01-20,0,CLIC
1985-01-21,4,CLIC
1985-01-22,0,CLIC
1985-01-23,0,CLIC
1985-01-24,0,CLIC
1985-01-25,0,CLIC
1985-01-26,2,CLIC
1985-01-27,0,CLIC
1985-01-28,0,CLIC
1985-01-29,0,CLIC
1985-01-30,0,CLIC
1985-01-31,0,CLIC
1985-02-01,0,CLIC
1985-02-02,0,CLIC
1985-02-03,0,CLIC
1985-02-04,0,CLIC
1985-02-05,0,CLIC
1985-02-06,0,CLIC
1985-02-07,0,CLIC
1985-02-08,0,CLIC
1985-02-09,0,CLIC
1985-02-10,0,CLIC
1985-02-11,0,CLIC
1985-02-12,0,CLIC
1985-02-13,0,CLIC
1985-02-14,0,CLIC
1985-02-15,0,CLIC
1985-02-16,0,CLIC
1985-02-17,0,CLIC
1985-02-18,0,CLIC
1985-02-19,0,CLIC
1985-02-20,0,CLIC
1985-02-21,0,CLIC
1985-02-22,0,CLIC
1985-02-23,6,CLIC
1985-02-24,20,CLIC
1985-02-25,5,CLIC
1985-02-26,10,CLIC
1985-02-27,8,CLIC
1985-02-28,2,CLIC
1985-03-01,0,CLIC
1985-03-02,0,CLIC
1985-03-03,0,CLIC
1985-03-04,0,CLIC
1985-03-05,1,CLIC
1985-03-06,0,CLIC
1985-03-07,0,CLIC
1985-03-08,0,CLIC
1985-03-09,0,CLIC
1985-03-10,0,CLIC
1985-03-11,0,CLIC
1985-03-12,0,CLIC
1985-03-13,31,CLIC
1985-03-14,0,CLIC
1985-03-15,0,CLIC
1985-03-16,0,CLIC
1985-03-17,0,CLIC
1985-03-18,0,CLIC
1985-03-19,0,CLIC
1985-03-20,0,CLIC
1985-03-21,0,CLIC
1985-03-22,0,CLIC
1985-03-23,0,CLIC
1985-03-24,0,CLIC
1985-03-25,0,CLIC
1985-03-26,0,CLIC
1985-03-27,0,CLIC
1985-03-28,0,CLIC
1985-03-29,0,CLIC
1985-03-30,0,CLIC
1985-03-31,0,CLIC
1985-06-01,25,CLIC
1985-06-02,160,CLIC
1985-06-03,0,CLIC
1985-06-04,0,CLIC
1985-06-05,0,CLIC
1985-06-06,0,CLIC
1985-06-07,0,CLIC
1985-06-08,4,CLIC
1985-06-09,0,CLIC
1985-06-10,0,CLIC
1985-06-11,0,CLIC
1985-06-12,6,CLIC
1985-06-13,0,CLIC
1985-06-14,24,CLIC
1985-06-15,0,CLIC
1985-06-16,0,CLIC
1985-06-17,0,CLIC
1985-06-18,0,CLIC
1985-06-19,24,CLIC
1985-06-20,0,CLIC
1985-06-21,0,CLIC
1985-06-22,0,CLIC
1985-06-23,15,CLIC
1985-06-24,0,CLIC
1985-06-25,0,CLIC
1985-06-26,0,CLIC
1985-06-27,0,CLIC
1985-06-28,0,CLIC
1985-06-29,0,CLIC
1985-06-30,0,CLIC
1985-08-01,0,CLIC
1985-08-02,0,CLIC
1985-08-03,0,CLIC
1985-08-04,0,CLIC
1985-08-05,0,CLIC
1985-08-06,0,CLIC
1985-08-07,0,CLIC
1985-08-08,0,CLIC
1985-08-09,0,CLIC
1985-08-10,0,CLIC
1985-08-11,0,CLIC
1985-08-12,0,CLIC
1985-08-13,0,CLIC
1985-08-14,0,CLIC
1985-08-15,0,CLIC
1985-08-16,0,CLIC
1985-08-17,0,CLIC
1985-08-18,0,CLIC
1985-08-19,0,CLIC
1985-08-20,0,CLIC
1985-08-21,0,CLIC
1985-08-22,0,CLIC
1985-08-23,0,CLIC
1985-08-24,0,CLIC
1985-08-25,0,CLIC
1985-08-26,0,CLIC
1985-08-27,0,CLIC
1985-08-28,0,CLIC
1985-08-29,0,CLIC
1985-08-30,0,CLIC
1985-08-31,0,CLIC
