Estación: ,C19030,CIENEGA DE G.. SANTIAGO
Variable: ,Precipitación (mm)
Longitud: ,100° 17' 00'',Latitud:,25° 21' 00

Fecha,Valor,NúmDatos
1970-06-14,0,CLIC
1970-06-15,0,CLIC
1970-06-16,0,CLIC
1970-06-17,0,CLIC
1970-06-18,0,CLIC
1970-06-19,0,CLIC
1970-06-20,0,CLIC
1970-06-21,0,CLIC
1970-06-22,0,CLIC
1970-06-23,1.2,CLIC
1970-06-24,13.2,CLIC
1970-06-25,17,CLIC
1970-06-26,33,CLIC
1970-06-27,7.2,CLIC
1970-06-28,0,CLIC
1970-06-29,0,CLIC
1970-06-30,0,CLIC
1970-07-01,1,CLIC
1970-07-02,0,CLIC
1970-07-03,3.5,CLIC
1970-07-04,0,CLIC
1970-07-05,0,CLIC
1970-07-06,0,CLIC
1970-07-07,0,CLIC
1970-07-08,0,CLIC
1970-07-09,0,CLIC
1970-07-10,0,CLIC
1970-07-11,0,CLIC
1970-07-12,0,CLIC
1970-07-13,0,CLIC
1970-07-14,50,CLIC
1970-07-15,22,CLIC
1970-07-16,48,CLIC
1970-07-17,1,CLIC
1970-07-18,0,CLIC
1970-07-19,0,CLIC
1970-07-20,0,CLIC
1970-07-21,0,CLIC
1970-07-22,1,CLIC
1970-07-23,0,CLIC
1970-07-24,3,CLIC
1970-07-25,1.2,CLIC
1970-07-26,2,CLIC
1970-07-27,0,CLIC
1970-07-28,0,CLIC
1970-07-29,0,CLIC
1970-07-30,0,CLIC
1970-07-31,0,CLIC
1970-08-01,0,CLIC
1970-08-02,0,CLIC
1970-08-03,0,CLIC
1970-08-04,0,CLIC
1970-08-05,20.3,CLIC
1970-08-06,6,CLIC
1970-08-07,0,CLIC
1970-08-08,0,CLIC
1970-08-09,0,CLIC
1970-08-10,0,CLIC
1970-08-11,0,CLIC
1970-08-12,1.5,CLIC
1970-08-13,3.5,CLIC
1970-08-14,6,CLIC
1970-08-15,0,CLIC
1970-08-16,0,CLIC
1970-08-17,0,CLIC
1970-08-18,0,CLIC
1970-08-19,0,CLIC
1970-08-20,0,CLIC
1970-08-21,0,CLIC
1970-08-22,0,CLIC
1970-08-23,0,CLIC
1970-08-24,0,CLIC
1970-08-25,4,CLIC
1970-08-26,0,CLIC
1970-08-27,0.5,CLIC
1970-08-28,0,CLIC
1970-08-29,0,CLIC
1970-08-30,0,CLIC
1970-08-31,6.5,CLIC
1970-09-01,0,CLIC
1970-09-02,0,CLIC
1970-09-03,0,CLIC
1970-09-04,0,CLIC
1970-09-05,0,CLIC
1970-09-06,0,CLIC
1970-09-07,0,CLIC
1970-09-08,0,CLIC
1970-09-09,0,CLIC
1970-09-10,20,CLIC
1970-09-11,16,CLIC
1970-09-12,140,CLIC
1970-09-13,0,CLIC
1970-09-14,0,CLIC
1970-09-15,0,CLIC
1970-09-16,3,CLIC
1970-09-17,2,CLIC
1970-09-18,26.5,CLIC
1970-09-19,0,CLIC
1970-09-20,0,CLIC
1970-09-21,0,CLIC
1970-09-22,0,CLIC
1970-09-23,36,CLIC
1970-09-24,53,CLIC
1970-09-25,26,CLIC
1970-09-26,14,CLIC
1970-09-27,3,CLIC
1970-09-28,9,CLIC
1970-09-29,0,CLIC
1970-09-30,0,CLIC
1970-10-01,0,CLIC
1970-10-02,0,CLIC
1970-10-03,0,CLIC
1970-10-04,8,CLIC
1970-10-05,0,CLIC
1970-10-06,0,CLIC
1970-10-07,0,CLIC
1970-10-08,0,CLIC
1970-10-09,0,CLIC
1970-10-10,0,CLIC
1970-10-11,0,CLIC
1970-10-12,0,CLIC
1970-10-13,0,CLIC
1970-10-14,1,CLIC
1970-10-15,4,CLIC
1970-10-16,2,CLIC
1970-10-17,0.5,CLIC
1970-10-18,0,CLIC
1970-10-19,0,CLIC
1970-10-20,0,CLIC
1970-10-21,0,CLIC
1970-10-22,0,CLIC
1970-10-23,0,CLIC
1970-10-24,0,CLIC
1970-10-25,0,CLIC
1970-10-26,0,CLIC
1970-10-27,0,CLIC
1970-10-28,0,CLIC
1970-10-29,0,CLIC
1970-10-30,0,CLIC
1970-10-31,0,CLIC
1970-11-01,0,CLIC
1970-11-02,0,CLIC
1970-11-03,0,CLIC
1970-11-04,0,CLIC
1970-11-05,0,CLIC
1970-11-06,0,CLIC
1970-11-07,0,CLIC
1970-11-08,0,CLIC
1970-11-09,0,CLIC
1970-11-10,0,CLIC
1970-11-11,0,CLIC
1970-11-12,0,CLIC
1970-11-13,0,CLIC
1970-11-14,0,CLIC
1970-11-15,0,CLIC
1970-11-16,0,CLIC
1970-11-17,0,CLIC
1970-11-18,0,CLIC
1970-11-19,0,CLIC
1970-11-20,0,CLIC
1970-11-21,0,CLIC
1970-11-22,0,CLIC
1970-11-23,0,CLIC
1970-11-24,0,CLIC
1970-11-25,0,CLIC
1970-11-26,0,CLIC
1970-11-27,0,CLIC
1970-11-28,0,CLIC
1970-11-29,1,CLIC
1970-11-30,0,CLIC
1970-12-01,0,CLIC
1970-12-02,0,CLIC
1970-12-03,0,CLIC
1970-12-04,0.5,CLIC
1970-12-05,0,CLIC
1970-12-06,0,CLIC
1970-12-07,0,CLIC
1970-12-08,0,CLIC
1970-12-09,0.5,CLIC
1970-12-10,0,CLIC
1970-12-11,0,CLIC
1970-12-12,0,CLIC
1970-12-13,0,CLIC
1970-12-14,0,CLIC
1970-12-15,0,CLIC
1970-12-16,0,CLIC
1970-12-17,0,CLIC
1970-12-18,0,CLIC
1970-12-19,0,CLIC
1970-12-20,0,CLIC
1970-12-21,0,CLIC
1970-12-22,0,CLIC
1970-12-23,0,CLIC
1970-12-24,0,CLIC
1970-12-25,0,CLIC
1970-12-26,0,CLIC
1970-12-27,0,CLIC
1970-12-28,0,CLIC
1970-12-29,0,CLIC
1970-12-30,0,CLIC
1970-12-31,0,CLIC
1971-01-01,0,CLIC
1971-01-02,0,CLIC
1971-01-03,0,CLIC
1971-01-04,0,CLIC
1971-01-05,0,CLIC
1971-01-06,0,CLIC
1971-01-07,0,CLIC
1971-01-08,0,CLIC
1971-01-09,0,CLIC
1971-01-10,0,CLIC
1971-01-11,0,CLIC
1971-01-12,0,CLIC
1971-01-13,0,CLIC
1971-01-14,0,CLIC
1971-01-15,44,CLIC
1971-01-16,0,CLIC
1971-01-17,0,CLIC
1971-01-18,0,CLIC
1971-01-19,0,CLIC
1971-01-20,0,CLIC
1971-01-21,0,CLIC
1971-01-22,0,CLIC
1971-01-23,0,CLIC
1971-01-24,0,CLIC
1971-01-25,0,CLIC
1971-01-26,0,CLIC
1971-01-27,0,CLIC
1971-01-28,0,CLIC
1971-01-29,0,CLIC
1971-01-30,0,CLIC
1971-01-31,0,CLIC
1971-02-01,0,CLIC
1971-02-02,0,CLIC
1971-02-03,0,CLIC
1971-02-04,0,CLIC
1971-02-05,0,CLIC
1971-02-06,0,CLIC
1971-02-07,0,CLIC
1971-02-08,0,CLIC
1971-02-09,0,CLIC
1971-02-10,0,CLIC
1971-02-11,0,CLIC
1971-02-12,0,CLIC
1971-02-13,0,CLIC
1971-02-14,0,CLIC
1971-02-15,0,CLIC
1971-02-16,0,CLIC
1971-02-17,0,CLIC
1971-02-18,0,CLIC
1971-02-19,0,CLIC
1971-02-20,0,CLIC
1971-02-21,0,CLIC
1971-02-22,0,CLIC
1971-02-23,0,CLIC
1971-02-24,0,CLIC
1971-02-25,0,CLIC
1971-02-26,0,CLIC
1971-02-27,0,CLIC
1971-02-28,0,CLIC
1971-03-01,0,CLIC
1971-03-02,0,CLIC
1971-03-03,0,CLIC
1971-03-04,0,CLIC
1971-03-05,0,CLIC
1971-03-06,0,CLIC
1971-03-07,0,CLIC
1971-03-08,0,CLIC
1971-03-09,0,CLIC
1971-03-10,0,CLIC
1971-03-11,0,CLIC
1971-03-12,0,CLIC
1971-03-13,0,CLIC
1971-03-14,0,CLIC
1971-03-15,0,CLIC
1971-03-16,0,CLIC
1971-03-17,0,CLIC
1971-03-18,0,CLIC
1971-03-19,0,CLIC
1971-03-20,0,CLIC
1971-03-21,0,CLIC
1971-03-22,0,CLIC
1971-03-23,0,CLIC
1971-03-24,1,CLIC
1971-03-25,0,CLIC
1971-03-26,0,CLIC
1971-03-27,0,CLIC
1971-03-28,1,CLIC
1971-03-29,0,CLIC
1971-03-30,0,CLIC
1971-03-31,0,CLIC
1971-04-01,1,CLIC
1971-04-02,0,CLIC
1971-04-03,0,CLIC
1971-04-04,4,CLIC
1971-04-05,0.5,CLIC
1971-04-06,0,CLIC
1971-04-07,0,CLIC
1971-04-08,0,CLIC
1971-04-09,0,CLIC
1971-04-10,0,CLIC
1971-04-11,0,CLIC
1971-04-12,0,CLIC
1971-04-13,0,CLIC
1971-04-14,0.5,CLIC
1971-04-15,0,CLIC
1971-04-16,0,CLIC
1971-04-17,0,CLIC
1971-04-18,0,CLIC
1971-04-19,0,CLIC
1971-04-20,0,CLIC
1971-04-21,0,CLIC
1971-04-22,0,CLIC
1971-04-23,0,CLIC
1971-04-24,0,CLIC
1971-04-25,0,CLIC
1971-04-26,0,CLIC
1971-04-27,0,CLIC
1971-04-28,0,CLIC
1971-04-29,0,CLIC
1971-04-30,0,CLIC
1971-05-01,0,CLIC
1971-05-02,0,CLIC
1971-05-03,0,CLIC
1971-05-04,0,CLIC
1971-05-05,0,CLIC
1971-05-06,0,CLIC
1971-05-07,0,CLIC
1971-05-08,0,CLIC
1971-05-09,0,CLIC
1971-05-10,2,CLIC
1971-05-11,0,CLIC
1971-05-12,22,CLIC
1971-05-13,8,CLIC
1971-05-14,0,CLIC
1971-05-15,0,CLIC
1971-05-16,0,CLIC
1971-05-17,0,CLIC
1971-05-18,0,CLIC
1971-05-19,0,CLIC
1971-05-20,3,CLIC
1971-05-21,0,CLIC
1971-05-22,0,CLIC
1971-05-23,2,CLIC
1971-05-24,28,CLIC
1971-05-25,0,CLIC
1971-05-26,0,CLIC
1971-05-27,0,CLIC
1971-05-28,0,CLIC
1971-05-29,0,CLIC
1971-05-30,5,CLIC
1971-05-31,0,CLIC
1971-06-01,0,CLIC
1971-06-02,0,CLIC
1971-06-03,0,CLIC
1971-06-04,0,CLIC
1971-06-05,0,CLIC
1971-06-06,0,CLIC
1971-06-07,0,CLIC
1971-06-08,0,CLIC
1971-06-09,0,CLIC
1971-06-10,0,CLIC
1971-06-11,0,CLIC
1971-06-12,0,CLIC
1971-06-13,1,CLIC
1971-06-14,5,CLIC
1971-06-15,3,CLIC
1971-06-16,0,CLIC
1971-06-17,16,CLIC
1971-06-18,0,CLIC
1971-06-19,4,CLIC
1971-06-20,2,CLIC
1971-06-21,9,CLIC
1971-06-22,19,CLIC
1971-06-23,7,CLIC
1971-06-24,21,CLIC
1971-06-25,35,CLIC
1971-06-26,10,CLIC
1971-06-27,3,CLIC
1971-06-28,3,CLIC
1971-06-29,1,CLIC
1971-06-30,5,CLIC
1971-07-01,0,CLIC
1971-07-02,0,CLIC
1971-07-03,0,CLIC
1971-07-04,0,CLIC
1971-07-05,0,CLIC
1971-07-06,0,CLIC
1971-07-07,0,CLIC
1971-07-08,3,CLIC
1971-07-09,12,CLIC
1971-07-10,50,CLIC
1971-07-11,13,CLIC
1971-07-12,7,CLIC
1971-07-13,0,CLIC
1971-07-14,0,CLIC
1971-07-15,0,CLIC
1971-07-16,0,CLIC
1971-07-17,0,CLIC
1971-07-18,0,CLIC
1971-07-19,0,CLIC
1971-07-20,0,CLIC
1971-07-21,0,CLIC
1971-07-22,0,CLIC
1971-07-23,0,CLIC
1971-07-24,0,CLIC
1971-07-25,0,CLIC
1971-07-26,0,CLIC
1971-07-27,0,CLIC
1971-07-28,0,CLIC
1971-07-29,0,CLIC
1971-07-30,23,CLIC
1971-07-31,2,CLIC
1971-08-01,0,CLIC
1971-08-02,16,CLIC
1971-08-03,12,CLIC
1971-08-04,5,CLIC
1971-08-05,10,CLIC
1971-08-06,20,CLIC
1971-08-07,28,CLIC
1971-08-08,0,CLIC
1971-08-09,0,CLIC
1971-08-10,0,CLIC
1971-08-11,1,CLIC
1971-08-12,1,CLIC
1971-08-13,2,CLIC
1971-08-14,4,CLIC
1971-08-15,0,CLIC
1971-08-16,0,CLIC
1971-08-17,0,CLIC
1971-08-18,1,CLIC
1971-08-19,10,CLIC
1971-08-20,4,CLIC
1971-08-21,0,CLIC
1971-08-22,0,CLIC
1971-08-23,0,CLIC
1971-08-24,5,CLIC
1971-08-25,4,CLIC
1971-08-26,0,CLIC
1971-08-27,4,CLIC
1971-08-28,0,CLIC
1971-08-29,3,CLIC
1971-08-30,0,CLIC
1971-08-31,0,CLIC
1971-09-01,0,CLIC
1971-09-02,0,CLIC
1971-09-03,0,CLIC
1971-09-04,0,CLIC
1971-09-05,0,CLIC
1971-09-06,0,CLIC
1971-09-07,11,CLIC
1971-09-08,33,CLIC
1971-09-09,3,CLIC
1971-09-10,0,CLIC
1971-09-11,1,CLIC
1971-09-12,24,CLIC
1971-09-13,88,CLIC
1971-09-14,2,CLIC
1971-09-15,0,CLIC
1971-09-16,0,CLIC
1971-09-17,3,CLIC
1971-09-18,23,CLIC
1971-09-19,14,CLIC
1971-09-20,2,CLIC
1971-09-21,0,CLIC
1971-09-22,0,CLIC
1971-09-23,27,CLIC
1971-09-24,17,CLIC
1971-09-25,6,CLIC
1971-09-26,15,CLIC
1971-09-27,9,CLIC
1971-09-28,36,CLIC
1971-09-29,0.5,CLIC
1971-09-30,1,CLIC
1971-10-01,0,CLIC
1971-10-02,0,CLIC
1971-10-03,0,CLIC
1971-10-04,12,CLIC
1971-10-05,9,CLIC
1971-10-06,6,CLIC
1971-10-07,0,CLIC
1971-10-08,0,CLIC
1971-10-09,49,CLIC
1971-10-10,0,CLIC
1971-10-11,0,CLIC
1971-10-12,18,CLIC
1971-10-13,1,CLIC
1971-10-14,0,CLIC
1971-10-15,8,CLIC
1971-10-16,0,CLIC
1971-10-17,0,CLIC
1971-10-18,0,CLIC
1971-10-19,3,CLIC
1971-10-20,4.5,CLIC
1971-10-21,0,CLIC
1971-10-22,0,CLIC
1971-10-23,0,CLIC
1971-10-24,0,CLIC
1971-10-25,0,CLIC
1971-10-26,0,CLIC
1971-10-27,0,CLIC
1971-10-28,0,CLIC
1971-10-29,0,CLIC
1971-10-30,0,CLIC
1971-10-31,0,CLIC
1971-11-01,0,CLIC
1971-11-02,0,CLIC
1971-11-03,1,CLIC
1971-11-04,0,CLIC
1971-11-05,0,CLIC
1971-11-06,22,CLIC
1971-11-07,1,CLIC
1971-11-08,0,CLIC
1971-11-09,0,CLIC
1971-11-10,2,CLIC
1971-11-11,0,CLIC
1971-11-12,0,CLIC
1971-11-13,0,CLIC
1971-11-14,0,CLIC
