Estación: ,C19261,LA CIENEGA
2007-06-23,0.3,CLIC
2007-06-24,0,CLIC
2007-06-25,0,CLIC
2007-06-26,0,CLIC
2007-06-27,0,CLIC
2007-06-28,0.1,CLIC
2007-06-29,15,CLIC
2007-06-30,19,CLIC
2007-07-01,0,CLIC
2007-07-02,0,CLIC
2007-07-03,0,CLIC
2007-07-04,0.9,CLIC
2007-07-05,0.1,CLIC
2007-07-06,0.2,CLIC
2007-07-07,0.1,CLIC
2007-07-08,0,CLIC
2007-07-09,0,CLIC
2007-07-10,0,CLIC
2007-07-11,0,CLIC
2007-07-12,0,CLIC
2007-07-13,0,CLIC
2007-07-14,0.4,CLIC
2007-07-15,0.1,CLIC
2007-07-16,0.1,CLIC
2007-07-17,30,CLIC
2007-07-18,0.6,CLIC
2007-07-19,0.5,CLIC
2007-07-20,0.2,CLIC
2007-07-21,0,CLIC
2007-07-22,0,CLIC
2007-07-23,0,CLIC
2007-07-24,20,CLIC
2007-07-25,0.9,CLIC
2007-07-26,0,CLIC
2007-07-27,0,CLIC
2007-07-28,0,CLIC
2007-07-29,10,CLIC
2007-07-30,0,CLIC
2007-07-31,0,CLIC
2007-08-01,0,CLIC
2007-08-02,0,CLIC
2007-08-03,0,CLIC
2007-08-04,0,CLIC
2007-08-05,0,CLIC
2007-08-06,0,CLIC
2007-08-07,0,CLIC
2007-08-08,0,CLIC
2007-08-09,0,CLIC
2007-08-10,0,CLIC
2007-08-11,0,CLIC
2007-08-12,0,CLIC
2007-08-13,0.5,CLIC
2007-08-14,0,CLIC
2007-08-15,0,CLIC
2007-08-16,10,CLIC
2007-08-17,0.3,CLIC
2007-08-18,0,CLIC
2007-08-19,0,CLIC
2007-08-20,0,CLIC
2007-08-21,0.2,CLIC
2007-08-22,16,CLIC
2007-08-23,0,CLIC
2007-08-24,0,CLIC
2007-08-25,0.3,CLIC
2007-08-26,23,CLIC
2007-08-27,25,CLIC
2007-08-28,20,CLIC
2007-08-29,23,CLIC
2007-08-30,0.2,CLIC
2007-08-31,0,CLIC
2007-09-01,0,CLIC
2007-09-02,23,CLIC
2007-09-03,22,CLIC
2007-09-04,23,CLIC
2007-09-05,0,CLIC
2007-09-06,0,CLIC
2007-09-07,0,CLIC
2007-09-08,0,CLIC
2007-09-09,0,CLIC
2007-09-10,0,CLIC
2007-09-11,0.2,CLIC
2007-09-12,0,CLIC
2007-11-03,13,CLIC
2007-11-04,0,CLIC
2007-11-05,0,CLIC
2007-11-06,3.5,CLIC
2007-11-07,0,CLIC
2007-11-08,0,CLIC
2007-11-09,0,CLIC
2007-11-10,0,CLIC
2007-11-11,0,CLIC
2007-11-12,0,CLIC
2007-11-13,0,CLIC
2007-11-14,0,CLIC
2007-11-15,0,CLIC
2007-11-16,0,CLIC
2007-11-17,0,CLIC
2007-11-18,0.3,CLIC
2007-11-19,0,CLIC
2007-11-20,0.3,CLIC
2007-11-21,0,CLIC
2007-11-22,0,CLIC
2007-11-23,0.2,CLIC
2007-11-24,0.5,CLIC
2007-11-25,0,CLIC
2007-11-26,0,CLIC
2007-11-27,0,CLIC
2007-11-28,0,CLIC
2007-11-29,1,CLIC
2007-11-30,2.5,CLIC
2007-12-01,0,CLIC
2007-12-02,0,CLIC
2007-12-03,0,CLIC
2007-12-04,0,CLIC
2007-12-05,0,CLIC
2007-12-06,0,CLIC
2007-12-07,0,CLIC
2007-12-08,0,CLIC
2007-12-09,0,CLIC
2007-12-10,0,CLIC
2007-12-11,0,CLIC
2007-12-12,0.5,CLIC
2007-12-13,0.5,CLIC
2007-12-14,0,CLIC
2007-12-15,0,CLIC
2007-12-16,0,CLIC
2007-12-17,0,CLIC
2007-12-18,0,CLIC
2007-12-19,0,CLIC
2007-12-20,0,CLIC
2007-12-21,0,CLIC
2007-12-22,0,CLIC
2007-12-23,0,CLIC
2007-12-24,0,CLIC
2007-12-25,0,CLIC
2007-12-26,0,CLIC
2007-12-27,0,CLIC
2007-12-28,0,CLIC
2007-12-29,0,CLIC
2007-12-30,0,CLIC
2007-12-31,0,CLIC
2008-01-01,0,CLIC
2008-01-02,0,CLIC
2008-01-03,0,CLIC
2008-01-04,0,CLIC
2008-01-05,0,CLIC
2008-01-06,0,CLIC
2008-01-07,0,CLIC
2008-01-08,0,CLIC
2008-01-09,0,CLIC
2008-01-10,0,CLIC
2008-01-11,0,CLIC
2008-01-12,0,CLIC
2008-01-13,0,CLIC
2008-01-14,14,CLIC
2008-01-15,0.7,CLIC
2008-01-16,0,CLIC
2008-01-17,0.4,CLIC
2008-01-18,0,CLIC
2008-01-19,0,CLIC
2008-01-20,0,CLIC
2008-01-21,0,CLIC
2008-01-22,0,CLIC
2008-01-23,0.1,CLIC
2008-01-24,0.4,CLIC
2008-01-25,0,CLIC
2008-01-26,0,CLIC
2008-01-27,0,CLIC
2008-01-28,0,CLIC
2008-01-29,0,CLIC
2008-01-30,0,CLIC
2008-01-31,0,CLIC
2008-02-01,0,CLIC
2008-02-02,0,CLIC
2008-02-03,0,CLIC
2008-02-04,0,CLIC
2008-02-05,0,CLIC
2008-02-06,0,CLIC
2008-02-07,0,CLIC
2008-02-08,0,CLIC
2008-02-09,0,CLIC
2008-02-10,0,CLIC
2008-02-11,0,CLIC
2008-02-12,0,CLIC
2008-02-13,0,CLIC
2008-02-14,0,CLIC
2008-02-15,0,CLIC
2008-02-16,0,CLIC
2008-02-17,0,CLIC
2008-02-18,6,CLIC
2008-02-19,0,CLIC
2008-02-20,0,CLIC
2008-02-21,0,CLIC
2008-02-22,0,CLIC
2008-02-23,0,CLIC
2008-02-24,0,CLIC
2008-02-25,0,CLIC
2008-02-26,0,CLIC
2008-02-27,0,CLIC
2008-02-28,0,CLIC
2008-02-29,0,CLIC
2008-03-01,0,CLIC
2008-03-02,0,CLIC
2008-03-03,0,CLIC
2008-03-04,0,CLIC
2008-03-05,0,CLIC
2008-03-06,0,CLIC
2008-03-07,0,CLIC
2008-03-08,0,CLIC
2008-03-09,0,CLIC
2008-03-10,0,CLIC
2008-03-11,0,CLIC
2008-03-12,0,CLIC
2008-03-13,0,CLIC
2008-03-14,0,CLIC
2008-03-15,0,CLIC
2008-03-16,0,CLIC
2008-03-17,0,CLIC
2008-03-18,0,CLIC
2008-03-19,0,CLIC
2008-03-20,0,CLIC
2008-03-21,0,CLIC
2008-03-22,0.2,CLIC
2008-03-23,22,CLIC
2008-03-24,0,CLIC
2008-03-25,0,CLIC
2008-03-26,0,CLIC
2008-03-27,0,CLIC
2008-03-28,0,CLIC
2008-03-29,0,CLIC
2008-03-30,0,CLIC
2008-03-31,0,CLIC
2008-04-01,0,CLIC
2008-04-02,0,CLIC
2008-04-03,0,CLIC
2008-04-04,0,CLIC
2008-04-05,0,CLIC
2008-04-06,0,CLIC
2008-04-07,0,CLIC
2008-04-08,0,CLIC
2008-04-09,0,CLIC
2008-04-10,0,CLIC
2008-04-11,0,CLIC
2008-04-12,0,CLIC
2008-04-13,0,CLIC
2008-04-14,0,CLIC
2008-04-15,0,CLIC
2008-04-16,0,CLIC
2008-04-17,0,CLIC
2008-04-18,0,CLIC
2008-04-19,0,CLIC
2008-04-20,0,CLIC
2008-04-21,0,CLIC
2008-04-22,0,CLIC
2008-04-23,0,CLIC
2008-04-24,0,CLIC
2008-04-25,0.8,CLIC
2008-04-26,0.6,CLIC
2008-04-27,18,CLIC
2008-04-28,0,CLIC
2008-04-29,0,CLIC
2008-04-30,0,CLIC
2008-05-01,0,CLIC
2008-05-02,0,CLIC
2008-05-03,20,CLIC
2008-05-04,0.3,CLIC
2008-05-05,0.2,CLIC
2008-05-06,0.3,CLIC
2008-05-07,0,CLIC
2008-05-08,0,CLIC
2008-05-09,0,CLIC
2008-05-10,0,CLIC
2008-05-11,0,CLIC
2008-05-12,0,CLIC
2008-05-13,0,CLIC
2008-05-14,0,CLIC
2008-05-15,0,CLIC
2008-05-16,0,CLIC
2008-05-17,13,CLIC
2008-05-18,0,CLIC
2008-05-19,0,CLIC
2008-05-20,0,CLIC
2008-05-21,0,CLIC
2008-05-22,0,CLIC
2008-05-23,0,CLIC
2008-05-24,0,CLIC
2008-05-25,0,CLIC
2008-05-26,0,CLIC
2008-05-27,0,CLIC
2008-05-28,0,CLIC
2008-05-29,0,CLIC
2008-05-30,0,CLIC
2008-05-31,0,CLIC
2008-06-01,0,CLIC
2008-06-02,0,CLIC
2008-06-03,0,CLIC
2008-06-04,0,CLIC
2008-06-05,0,CLIC
2008-06-06,0,CLIC
2008-06-07,0,CLIC
2008-06-08,0,CLIC
2008-06-09,0,CLIC
2008-06-10,0,CLIC
2008-06-11,0,CLIC
2008-06-12,0,CLIC
2008-06-13,0.3,CLIC
2008-06-14,0,CLIC
2008-06-15,0,CLIC
2008-06-16,0,CLIC
2008-06-17,0,CLIC
2008-06-18,0,CLIC
2008-06-19,0,CLIC
2008-06-20,0,CLIC
2008-06-21,0,CLIC
2008-06-22,0.6,CLIC
2008-06-23,0,CLIC
2008-06-24,0,CLIC
2008-06-25,0,CLIC
2008-06-26,0,CLIC
2008-06-27,0,CLIC
2008-06-28,0,CLIC
2008-06-29,0,CLIC
2008-06-30,0,CLIC
2008-07-01,0,CLIC
2008-07-02,0,CLIC
2008-07-03,10,CLIC
2008-07-04,29,CLIC
2008-07-05,45,CLIC
2008-07-06,36,CLIC
2008-07-07,20,CLIC
2008-07-08,0.3,CLIC
2008-07-09,0.1,CLIC
2008-07-10,0,CLIC
2008-07-11,0,CLIC
2008-07-12,0,CLIC
2008-07-13,0,CLIC
2008-07-14,0,CLIC
2008-07-15,0,CLIC
2008-07-16,0,CLIC
2008-07-17,0,CLIC
2008-07-18,0.2,CLIC
2008-07-19,0,CLIC
2008-07-20,0,CLIC
2008-07-21,0,CLIC
2008-07-22,0,CLIC
2008-07-23,0.1,CLIC
2008-07-24,0.2,CLIC
2008-07-25,0,CLIC
2008-07-26,0,CLIC
2008-07-27,0,CLIC
2008-07-28,0,CLIC
2008-07-29,0,CLIC
2008-07-30,0,CLIC
2008-07-31,0,CLIC
2008-08-01,0,CLIC
2008-08-02,0,CLIC
2008-08-03,0,CLIC
2008-08-04,0,CLIC
2008-08-05,0,CLIC
2008-08-06,0,CLIC
2008-08-07,0,CLIC
2008-08-08,0.1,CLIC
2008-08-09,0,CLIC
2008-08-10,0,CLIC
2008-08-11,0,CLIC
2008-08-12,0,CLIC
2008-08-13,57,CLIC
2008-08-14,0,CLIC
2008-08-15,0,CLIC
2008-08-16,0,CLIC
2008-08-17,0.1,CLIC
2008-08-18,0.3,CLIC
2008-08-19,0,CLIC
2008-08-20,0,CLIC
2008-08-21,0,CLIC
2008-08-22,0.2,CLIC
2008-08-23,0.3,CLIC
2008-08-24,0.4,CLIC
2008-08-25,38,CLIC
2008-08-26,0.7,CLIC
2008-08-27,0.1,CLIC
2008-08-28,0.1,CLIC
2008-08-29,0.9,CLIC
2008-08-30,0.7,CLIC
2008-08-31,0,CLIC
2008-09-01,0,CLIC
2008-09-02,0,CLIC
2008-09-03,17,CLIC
2008-09-04,0.5,CLIC
2008-09-05,28,CLIC
2008-09-06,0,CLIC
2008-09-07,0,CLIC
2008-09-08,0,CLIC
2008-09-09,15,CLIC
2008-09-10,0.1,CLIC
2008-09-11,0.1,CLIC
2008-09-12,0,CLIC
2008-09-13,0.9,CLIC
2008-09-14,86,CLIC
2008-09-15,31,CLIC
2008-09-16,0,CLIC
2008-09-17,0,CLIC
2008-09-18,0,CLIC
2008-09-19,0,CLIC
2008-09-20,0,CLIC
2008-09-21,0,CLIC
2008-09-22,0.2,CLIC
2008-12-01,0,CLIC
2008-12-02,0,CLIC
2008-12-03,0,CLIC
2008-12-04,0,CLIC
2008-12-05,0,CLIC
2008-12-06,0,CLIC
2008-12-07,0,CLIC
2008-12-08,0,CLIC
2008-12-09,0,CLIC
2008-12-10,0,CLIC
2008-12-11,0,CLIC
2008-12-12,0,CLIC
2008-12-13,0,CLIC
2008-12-14,0,CLIC
2008-12-15,1,CLIC
2008-12-16,0,CLIC
2008-12-17,1,CLIC
2008-12-18,0,CLIC
2008-12-19,0,CLIC
2008-12-20,0,CLIC
2008-12-21,1.3,CLIC
2008-12-22,0.7,CLIC
2008-12-23,0,CLIC
2008-12-24,0,CLIC
2008-12-25,0,CLIC
2008-12-26,0,CLIC
2008-12-27,0,CLIC
2008-12-28,0,CLIC
2008-12-29,0,CLIC
2008-12-30,0,CLIC
2008-12-31,0,CLIC
2009-02-01,0,CLIC
2009-02-02,0,CLIC
2009-02-03,0,CLIC
2009-02-04,0,CLIC
2009-02-05,0,CLIC
2009-02-06,0,CLIC
2009-02-07,0,CLIC
2009-02-08,0,CLIC
2009-02-09,0,CLIC
2009-02-10,0,CLIC
2009-02-11,0,CLIC
2009-02-12,0,CLIC
2009-02-13,0,CLIC
2009-02-14,0,CLIC
2009-02-15,0,CLIC
2009-02-16,2.5,CLIC
2009-02-17,10,CLIC
2009-02-18,0,CLIC
2009-02-19,2,CLIC
2009-02-20,2.3,CLIC
2009-02-21,0,CLIC
2009-02-22,0,CLIC
2009-02-23,0,CLIC
2009-02-24,0,CLIC
2009-02-25,0,CLIC
2009-02-26,0,CLIC
2009-02-27,0,CLIC
2009-02-28,0,CLIC
2009-03-01,0,CLIC
2009-03-02,0,CLIC
2009-03-03,0,CLIC
2009-03-04,0,CLIC
2009-03-05,0,CLIC
2009-03-06,0,CLIC
2009-03-07,0,CLIC
2009-03-08,0,CLIC
2009-03-09,0,CLIC
2009-03-10,0,CLIC
2009-03-11,11.5,CLIC
2009-03-12,3,CLIC
2009-03-13,2.3,CLIC
2009-03-14,2.4,CLIC
2009-03-15,0.5,CLIC
2009-03-16,0,CLIC
2009-03-17,0,CLIC
2009-03-18,0,CLIC
2009-03-20,0.5,CLIC
2009-03-21,0,CLIC
2009-03-22,0,CLIC
2009-03-23,0,CLIC
2009-03-24,0,CLIC
2009-03-25,0,CLIC
2009-03-26,0,CLIC
2009-03-27,0,CLIC
2009-03-28,0,CLIC
2009-03-29,0,CLIC
2009-03-30,0,CLIC
2009-03-31,0,CLIC
2009-04-01,0,CLIC
2009-04-02,0,CLIC
2009-04-03,0,CLIC
2009-04-04,0,CLIC
2009-04-05,0,CLIC
2009-04-06,0,CLIC
2009-04-07,0,CLIC
2009-04-08,0,CLIC
2009-04-09,0,CLIC
2009-04-10,0.3,CLIC
2009-04-11,0,CLIC
2009-04-12,0,CLIC
2009-04-13,0,CLIC
2009-04-14,0,CLIC
2009-04-15,0,CLIC
2009-04-16,0,CLIC
2009-04-17,2.1,CLIC
2009-04-18,1.9,CLIC
2009-04-19,16.3,CLIC
2009-04-20,0,CLIC
2009-04-21,0,CLIC
2009-04-22,0,CLIC
2009-04-23,0,CLIC
2009-04-24,0,CLIC
2009-04-25,0,CLIC
2009-04-26,0,CLIC
2009-04-28,1,CLIC
2009-04-29,0,CLIC
2009-04-30,0,CLIC
2009-05-01,0,CLIC
2009-05-02,0,CLIC
2009-05-03,0,CLIC
2009-05-04,0,CLIC
2009-05-05,0,CLIC
2009-05-06,0,CLIC
2009-05-07,0,CLIC
2009-05-08,0,CLIC
2009-05-09,0,CLIC
2009-05-10,0,CLIC
2009-05-11,0,CLIC
2009-05-12,0,CLIC
2009-05-13,0,CLIC
2009-05-14,2.6,CLIC
2009-05-15,0,CLIC
2009-05-16,30.4,CLIC
2009-05-17,0,CLIC
2009-05-18,0,CLIC
2009-05-19,0,CLIC
2009-05-20,0,CLIC
2009-05-21,0,CLIC
2009-05-22,0,CLIC
2009-05-23,0,CLIC
2009-05-24,0,CLIC
2009-05-25,0,CLIC
2009-05-26,0,CLIC
2009-05-27,21,CLIC
2009-05-28,0,CLIC
2009-05-29,1.6,CLIC
2009-05-30,0,CLIC
2009-05-31,0,CLIC
2009-06-01,0,CLIC
2009-06-02,0,CLIC
2009-06-03,0,CLIC
2009-06-04,0,CLIC
2009-06-05,0,CLIC
2009-06-06,0,CLIC
2009-06-07,0,CLIC
2009-06-08,0,CLIC
2009-06-09,0,CLIC
2009-06-10,0,CLIC
2009-06-11,0,CLIC
2009-06-12,0,CLIC
2009-06-13,0,CLIC
2009-06-14,0,CLIC
2009-06-15,0,CLIC
2009-06-16,0,CLIC
2009-06-17,0,CLIC
2009-06-18,0,CLIC
2009-06-19,0,CLIC
2009-06-20,0,CLIC
2009-06-21,0,CLIC
2009-06-22,0,CLIC
2009-06-23,0,CLIC
2009-06-24,0,CLIC
2009-06-25,9.3,CLIC
2009-06-26,0,CLIC
2009-06-27,0,CLIC
2009-06-28,0,CLIC
2009-06-29,0,CLIC
2009-06-30,0,CLIC
2009-07-01,0,CLIC
2009-07-02,0,CLIC
2009-07-03,0,CLIC
2009-07-04,0,CLIC
2009-07-05,0,CLIC
2009-07-06,0,CLIC
2009-07-07,0,CLIC
2009-07-08,0,CLIC
2009-07-09,0,CLIC
2009-07-10,0,CLIC
2009-07-11,0,CLIC
2009-07-12,0,CLIC
2009-07-13,0,CLIC
2009-07-14,0,CLIC
2009-07-15,0,CLIC
2009-07-16,0,CLIC
2009-07-17,0,CLIC
2009-07-18,0,CLIC
2009-07-19,0,CLIC
2009-07-20,0,CLIC
2009-07-21,0,CLIC
2009-07-22,0,CLIC
2009-07-23,0,CLIC
2009-07-24,0,CLIC
2009-07-25,0,CLIC
2009-07-26,0,CLIC
2009-07-27,0,CLIC
2009-07-28,0,CLIC
2009-07-29,0,CLIC
2009-07-30,9.2,CLIC
2009-07-31,0,CLIC
2009-08-01,0,CLIC
2009-08-02,0,CLIC
2009-08-03,0,CLIC
2009-08-04,0,CLIC
2009-08-05,0,CLIC
2009-08-06,0,CLIC
2009-08-07,0,CLIC
2009-08-08,0,CLIC
2009-08-09,0,CLIC
2009-08-10,0,CLIC
2009-08-11,0,CLIC
2009-08-12,0,CLIC
2009-08-13,0,CLIC
2009-08-14,0,CLIC
2009-08-15,0,CLIC
2009-08-16,0,CLIC
2009-08-17,0,CLIC
2009-08-18,0,CLIC
2009-08-19,0,CLIC
2009-08-20,0,CLIC
2009-08-21,0,CLIC
2009-08-22,0,CLIC
2009-08-23,0,CLIC
2009-08-24,0,CLIC
2009-08-25,0,CLIC
2009-08-26,0,CLIC
2009-08-27,0,CLIC
2009-08-28,1.8,CLIC
2009-08-29,19,CLIC
2009-08-30,20,CLIC
2009-08-31,21,CLIC
2009-09-01,15,CLIC
2009-09-02,12,CLIC
2009-09-03,16.6,CLIC
2009-09-04,4.1,CLIC
2009-09-05,0,CLIC
2009-09-06,1,CLIC
2009-09-07,38.5,CLIC
2009-09-08,0,CLIC
2009-09-09,0,CLIC
2009-09-10,37.8,CLIC
2009-09-11,8,CLIC
2009-09-12,0.7,CLIC
2009-09-13,0,CLIC
2009-09-14,0,CLIC
2009-09-15,0,CLIC
2009-09-16,8.4,CLIC
2009-09-17,0,CLIC
2009-09-18,9.2,CLIC
2009-09-19,31.1,CLIC
2009-09-20,0,CLIC
2009-09-21,0,CLIC
2009-09-22,52.1,CLIC
2009-09-23,1.8,CLIC
2009-09-24,0.9,CLIC
2009-09-25,1,CLIC
2009-09-26,0,CLIC
2009-09-27,0,CLIC
2009-09-28,0,CLIC
2009-09-29,0,CLIC
2009-09-30,0,CLIC
2009-10-01,0,CLIC
2009-10-02,8.4,CLIC
2009-10-03,0,CLIC
2009-10-04,0,CLIC
2009-10-05,0,CLIC
2009-10-06,1,CLIC
2009-10-07,0,CLIC
2009-10-08,5.8,CLIC
2009-10-09,0,CLIC
2009-10-10,0,CLIC
2009-10-11,4.5,CLIC
2009-10-12,1,CLIC
2009-10-13,0,CLIC
2009-10-14,0,CLIC
2009-10-15,0,CLIC
2009-10-16,7.5,CLIC
2009-10-17,9.3,CLIC
2009-10-18,0,CLIC
2009-10-19,0,CLIC
2009-10-20,0,CLIC
2009-10-21,0,CLIC
2009-10-22,0,CLIC
2009-10-23,6.1,CLIC
2009-10-24,0,CLIC
2009-10-25,0,CLIC
2009-10-26,3.1,CLIC
2009-10-27,0,CLIC
2009-10-28,0,CLIC
2009-10-29,0,CLIC
2009-10-30,0,CLIC
2009-10-31,0,CLIC
2009-12-01,1.5,CLIC
2009-12-02,4.8,CLIC
2009-12-03,0,CLIC
2009-12-04,0,CLIC
2009-12-05,0,CLIC
2009-12-06,0,CLIC
2009-12-07,0,CLIC
2009-12-08,0,CLIC
2009-12-09,0,CLIC
2009-12-10,2.6,CLIC
2009-12-11,1,CLIC
2009-12-12,0.8,CLIC
2009-12-13,0,CLIC
2009-12-14,0,CLIC
2009-12-15,0,CLIC
2009-12-16,2.3,CLIC
2009-12-17,5.4,CLIC
2009-12-18,0,CLIC
2009-12-19,0.4,CLIC
2009-12-20,8.1,CLIC
2009-12-21,0,CLIC
2009-12-22,0,CLIC
2009-12-23,0,CLIC
2009-12-24,0,CLIC
2009-12-25,0,CLIC
2009-12-26,0,CLIC
2009-12-27,6.2,CLIC
2009-12-28,3.9,CLIC
2009-12-29,0,CLIC
2009-12-30,0,CLIC
2009-12-31,0,CLIC
2010-01-01,0,CLIC
2010-01-02,0,CLIC
2010-01-03,3.3,CLIC
2010-01-04,11,CLIC
2010-01-05,1.4,CLIC
2010-01-06,0,CLIC
2010-01-07,0,CLIC
2010-01-08,0,CLIC
2010-01-09,0,CLIC
2010-01-10,0,CLIC
2010-01-11,0.3,CLIC
2010-01-12,9.3,CLIC
2010-01-13,1.8,CLIC
2010-01-14,5.2,CLIC
2010-01-15,0.1,CLIC
2010-01-16,0,CLIC
2010-01-17,0,CLIC
2010-01-18,0,CLIC
2010-01-19,0,CLIC
2010-01-20,0,CLIC
2010-01-21,0,CLIC
2010-01-22,0,CLIC
2010-01-23,0,CLIC
2010-01-24,0,CLIC
2010-01-25,0,CLIC
2010-01-26,0,CLIC
2010-01-27,0,CLIC
2010-01-28,0,CLIC
2010-01-29,0,CLIC
2010-01-30,0,CLIC
2010-01-31,0,CLIC
2010-02-01,0,CLIC
2010-02-02,18,CLIC
2010-02-03,0,CLIC
2010-02-04,0,CLIC
2010-02-05,0,CLIC
2010-02-06,0,CLIC
2010-02-07,0,CLIC
2010-02-08,0,CLIC
2010-02-09,0,CLIC
2010-02-10,0,CLIC
2010-02-11,0,CLIC
2010-02-12,0,CLIC
2010-02-13,0,CLIC
2010-02-14,0,CLIC
2010-02-15,0,CLIC
2010-02-16,0,CLIC
2010-02-17,0,CLIC
2010-02-18,0,CLIC
2010-02-19,0,CLIC
2010-02-20,0,CLIC
2010-02-21,0,CLIC
2010-02-22,3.7,CLIC
2010-02-23,0,CLIC
2010-02-24,0,CLIC
2010-02-25,0,CLIC
2010-02-26,0,CLIC
2010-02-27,0,CLIC
2010-02-28,0,CLIC
2010-03-01,0,CLIC
2010-03-02,0,CLIC
2010-03-03,0,CLIC
2010-03-04,0.3,CLIC
2010-03-05,0.6,CLIC
2010-03-06,11.6,CLIC
2010-03-07,0,CLIC
2010-03-08,0,CLIC
2010-03-09,0,CLIC
2010-03-10,0,CLIC
2010-03-11,0,CLIC
2010-03-12,0,CLIC
2010-03-13,0,CLIC
2010-03-14,0,CLIC
2010-03-15,18.5,CLIC
2010-03-16,0,CLIC
2010-03-17,0,CLIC
2010-03-18,0,CLIC
2010-03-19,0,CLIC
2010-03-20,0,CLIC
2010-03-21,0,CLIC
2010-03-22,0,CLIC
2010-03-23,0,CLIC
2010-03-24,0,CLIC
2010-03-25,0,CLIC
2010-03-26,0,CLIC
2010-03-27,0,CLIC
2010-03-28,0,CLIC
2010-03-29,0,CLIC
2010-03-30,0,CLIC
2010-03-31,0,CLIC
2010-04-01,0,CLIC
2010-04-02,0,CLIC
2010-04-03,0,CLIC
2010-04-04,0,CLIC
2010-04-05,0,CLIC
2010-04-06,0,CLIC
2010-04-07,0,CLIC
2010-04-08,0,CLIC
2010-04-09,3,CLIC
2010-04-10,1.9,CLIC
2010-04-11,58.9,CLIC
2010-04-12,17.8,CLIC
2010-04-13,60.3,CLIC
2010-04-14,14.6,CLIC
2010-04-15,6.8,CLIC
2010-04-16,0,CLIC
2010-04-17,80,CLIC
2010-04-18,0,CLIC
2010-04-19,23,CLIC
2010-04-20,0,CLIC
2010-04-21,4.4,CLIC
2010-04-22,0,CLIC
2010-04-23,0,CLIC
2010-04-24,0,CLIC
2010-04-25,0,CLIC
2010-04-26,0,CLIC
2010-04-27,0,CLIC
2010-04-28,0,CLIC
2010-04-29,0,CLIC
2010-04-30,0,CLIC
2010-05-01,0,CLIC
2010-05-02,0,CLIC
2010-05-03,0,CLIC
2010-05-04,0,CLIC
2010-05-05,0,CLIC
2010-05-06,0,CLIC
2010-05-07,0,CLIC
2010-05-08,0,CLIC
2010-05-09,0,CLIC
2010-05-10,0,CLIC
2010-05-11,0,CLIC
2010-05-12,5.2,CLIC
2010-05-13,0.2,CLIC
2010-05-14,0.3,CLIC
2010-05-15,0,CLIC
2010-05-16,0,CLIC
2010-05-17,0,CLIC
2010-05-18,0,CLIC
2010-05-19,0,CLIC
2010-05-20,0.1,CLIC
2010-05-21,0,CLIC
2010-05-22,0,CLIC
2010-05-23,0,CLIC
2010-05-24,3.5,CLIC
2010-05-25,5.5,CLIC
2010-05-26,5,CLIC
2010-05-27,0.1,CLIC
2010-05-28,0,CLIC
2010-05-29,9.2,CLIC
2010-05-30,2.2,CLIC
2010-05-31,0,CLIC
2010-06-01,0,CLIC
2010-06-02,0,CLIC
2010-06-03,11.5,CLIC
2010-06-04,0,CLIC
2010-06-05,0,CLIC
2010-06-06,0.2,CLIC
2010-06-07,7,CLIC
2010-06-08,0,CLIC
2010-06-09,0,CLIC
2010-06-10,10,CLIC
2010-06-11,0.2,CLIC
2010-06-12,0,CLIC
2010-06-13,0,CLIC
2010-06-14,0,CLIC
2010-06-15,0,CLIC
2010-06-16,0,CLIC
2010-06-17,0,CLIC
2010-06-18,0,CLIC
2010-06-19,0,CLIC
2010-06-20,0,CLIC
