Estación: ,C19261,LA CIENEGA
2013-12-28,1,CLIC
2013-12-29,12,CLIC
2013-12-30,40,CLIC
2013-12-31,6,CLIC
2014-01-01,0,CLIC
2014-01-02,0,CLIC
2014-01-03,0,CLIC
2014-01-04,0,CLIC
2014-01-05,0,CLIC
2014-01-06,0.5,CLIC
2014-01-07,0,CLIC
2014-01-08,0,CLIC
2014-01-09,0,CLIC
2014-01-10,0,CLIC
2014-01-11,0,CLIC
2014-01-12,0,CLIC
2014-01-13,0,CLIC
2014-01-14,0,CLIC
2014-01-15,0,CLIC
2014-01-16,0,CLIC
2014-01-17,0,CLIC
2014-01-18,0,CLIC
2014-01-19,0,CLIC
2014-01-20,0,CLIC
2014-01-21,0,CLIC
2014-01-22,0,CLIC
2014-01-23,0,CLIC
2014-01-24,0,CLIC
2014-01-25,0,CLIC
2014-01-26,0,CLIC
2014-01-27,0,CLIC
2014-01-28,9,CLIC
2014-01-29,0,CLIC
2014-01-30,0,CLIC
2014-01-31,0,CLIC
2014-02-01,0,CLIC
2014-02-02,0,CLIC
2014-02-03,1,CLIC
2014-02-04,0,CLIC
2014-02-05,15,CLIC
2014-02-06,6,CLIC
2014-02-07,1,CLIC
2014-02-08,0,CLIC
2014-02-09,0,CLIC
2014-02-10,4,CLIC
2014-02-11,1.5,CLIC
2014-02-12,0,CLIC
2014-02-13,0,CLIC
2014-02-14,0,CLIC
2014-02-15,0,CLIC
2014-02-16,0,CLIC
2014-02-17,0,CLIC
2014-02-18,0,CLIC
2014-02-19,0,CLIC
2014-02-20,0,CLIC
2014-02-21,0,CLIC
2014-02-22,0,CLIC
2014-02-23,0,CLIC
2014-02-24,0,CLIC
2014-02-25,0,CLIC
2014-02-26,3.5,CLIC
2014-02-27,1,CLIC
2014-02-28,0,CLIC
2014-03-01,0,CLIC
2014-03-02,0,CLIC
2014-03-03,1.5,CLIC
2014-03-04,0,CLIC
2014-03-05,0,CLIC
2014-03-06,0,CLIC
2014-03-07,0,CLIC
2014-03-08,5,CLIC
2014-03-09,10,CLIC
2014-03-10,3,CLIC
2014-03-11,0,CLIC
2014-03-12,0,CLIC
2014-03-13,0,CLIC
2014-03-14,0,CLIC
2014-03-15,0,CLIC
2014-03-16,0,CLIC
2014-03-17,0,CLIC
2014-03-18,0,CLIC
2014-03-19,0,CLIC
2014-03-20,1,CLIC
2014-03-21,0,CLIC
2014-03-22,0,CLIC
2014-03-23,5,CLIC
2014-03-24,0,CLIC
2014-03-25,2.2,CLIC
2014-03-26,3.5,CLIC
2014-03-27,0,CLIC
2014-03-28,0,CLIC
2014-03-29,1,CLIC
2014-03-30,0,CLIC
2014-03-31,0,CLIC
2014-04-01,0,CLIC
2014-04-02,0,CLIC
2014-04-03,0,CLIC
2014-04-04,0,CLIC
2014-04-05,0,CLIC
2014-04-06,0,CLIC
2014-04-07,0,CLIC
2014-04-08,0,CLIC
2014-04-09,0,CLIC
2014-04-10,0,CLIC
2014-04-11,0,CLIC
2014-04-12,0,CLIC
2014-04-13,0,CLIC
2014-04-14,0,CLIC
2014-04-15,0,CLIC
2014-04-16,7,CLIC
2014-04-17,16,CLIC
2014-04-18,17,CLIC
2014-04-19,5,CLIC
2014-04-20,0,CLIC
2014-04-21,0,CLIC
2014-04-22,0,CLIC
2014-04-23,1,CLIC
2014-04-24,0,CLIC
2014-04-25,2,CLIC
2014-04-26,0,CLIC
2014-04-27,0,CLIC
2014-04-28,0,CLIC
2014-04-29,0,CLIC
2014-04-30,0,CLIC
2014-05-01,2.5,CLIC
2014-05-02,0,CLIC
2014-05-03,0,CLIC
2014-05-04,0,CLIC
2014-05-05,0,CLIC
2014-05-06,0,CLIC
2014-05-07,1,CLIC
2014-05-08,0,CLIC
2014-05-09,0,CLIC
2014-05-10,0,CLIC
2014-05-11,1,CLIC
2014-05-12,0,CLIC
2014-05-13,7,CLIC
2014-05-14,0,CLIC
2014-05-15,0,CLIC
2014-05-16,0,CLIC
2014-05-17,0,CLIC
2014-05-18,0,CLIC
2014-05-19,0,CLIC
2014-05-20,0,CLIC
2014-05-21,0,CLIC
2014-05-22,5,CLIC
2014-05-23,2.5,CLIC
2014-05-24,0,CLIC
2014-05-25,6,CLIC
2014-05-26,0,CLIC
2014-05-27,0,CLIC
2014-05-28,1,CLIC
2014-05-29,0,CLIC
2014-05-30,0,CLIC
2014-05-31,0,CLIC
2014-06-01,0,CLIC
2014-06-02,0,CLIC
2014-06-03,0,CLIC
2014-06-04,0,CLIC
2014-06-05,0,CLIC
2014-06-06,0,CLIC
2014-06-07,0,CLIC
2014-06-08,0,CLIC
2014-06-09,0,CLIC
2014-06-10,0,CLIC
2014-06-11,0,CLIC
2014-06-12,0,CLIC
2014-06-13,0,CLIC
2014-06-14,0,CLIC
2014-06-15,0,CLIC
2014-06-16,0,CLIC
2014-06-17,10,CLIC
2014-06-18,5,CLIC
2014-06-19,22,CLIC
2014-06-20,0.5,CLIC
2014-06-21,0,CLIC
2014-06-22,4,CLIC
2014-06-23,0,CLIC
2014-06-24,0,CLIC
2014-06-25,0,CLIC
2014-06-26,0,CLIC
2014-06-27,0,CLIC
2014-06-28,0,CLIC
2014-06-29,0,CLIC
2014-06-30,0,CLIC
2014-07-01,0,CLIC
2014-07-02,1,CLIC
2014-07-03,0,CLIC
2014-07-04,0,CLIC
2014-07-05,0,CLIC
2014-07-06,4,CLIC
2014-07-07,0,CLIC
2014-07-08,0,CLIC
2014-07-09,0,CLIC
2014-07-10,6,CLIC
2014-07-11,1,CLIC
2014-07-12,0,CLIC
2014-07-13,0,CLIC
2014-07-14,0,CLIC
2014-07-15,0,CLIC
2014-07-16,0,CLIC
2014-07-17,0,CLIC
2014-07-18,0,CLIC
2014-07-19,0,CLIC
2014-07-20,7,CLIC
2014-07-21,0,CLIC
2014-07-22,0,CLIC
2014-07-23,20,CLIC
2014-07-24,0,CLIC
2014-07-25,0,CLIC
2014-07-26,0,CLIC
2014-07-27,0,CLIC
2014-07-28,0,CLIC
2014-07-29,0,CLIC
2014-07-30,0,CLIC
2014-07-31,0,CLIC
2014-08-01,14,CLIC
2014-08-02,19,CLIC
2014-08-03,57,CLIC
2014-08-04,0,CLIC
2014-08-05,3,CLIC
2014-08-06,0,CLIC
2014-08-07,0,CLIC
2014-08-08,1,CLIC
2014-08-09,10,CLIC
2014-08-10,0,CLIC
2014-08-11,0,CLIC
2014-08-12,0,CLIC
2014-08-13,0,CLIC
2014-08-14,18,CLIC
2014-08-15,0,CLIC
2014-08-16,0,CLIC
2014-08-17,0,CLIC
2014-08-18,0,CLIC
2014-08-19,0,CLIC
2014-08-20,0,CLIC
2014-08-21,0,CLIC
2014-08-22,0,CLIC
2014-08-23,0,CLIC
2014-08-24,0,CLIC
2014-08-25,0,CLIC
2014-08-26,0,CLIC
2014-08-27,0,CLIC
2014-08-28,0,CLIC
2014-08-29,0,CLIC
2014-08-30,31,CLIC
2014-08-31,0,CLIC
2014-09-01,0,CLIC
2014-09-02,10,CLIC
2014-09-03,20,CLIC
2014-09-04,1,CLIC
2014-09-05,0.5,CLIC
2014-09-06,0,CLIC
2014-09-07,0,CLIC
2014-09-08,0,CLIC
2014-09-09,0,CLIC
2014-09-10,0,CLIC
2014-09-11,1,CLIC
2014-09-12,20,CLIC
2014-09-13,135,CLIC
2014-09-14,6,CLIC
2014-09-15,0,CLIC
2014-09-16,0,CLIC
2014-09-17,0,CLIC
2014-09-18,1,CLIC
2014-09-19,24,CLIC
2014-09-20,0.5,CLIC
2014-09-21,88,CLIC
2014-09-22,1.5,CLIC
2014-09-23,0,CLIC
2014-09-24,20,CLIC
2014-09-25,2,CLIC
2014-09-26,4,CLIC
2014-09-27,1,CLIC
2014-09-28,0,CLIC
2014-09-29,0,CLIC
2014-09-30,0,CLIC
2014-10-01,0,CLIC
2014-10-02,0,CLIC
2014-10-03,53,CLIC
2014-10-04,0,CLIC
2014-10-05,0,CLIC
2014-10-06,0,CLIC
2014-10-07,0,CLIC
2014-10-08,0,CLIC
2014-10-09,0,CLIC
2014-10-10,0,CLIC
2014-10-11,0,CLIC
2014-10-12,0,CLIC
2014-10-13,0,CLIC
2014-10-14,0,CLIC
2014-10-15,0,CLIC
2014-10-16,0,CLIC
2014-10-17,0,CLIC
2014-10-18,84,CLIC
2014-10-19,32,CLIC
2014-10-20,2,CLIC
2014-10-21,2,CLIC
2014-10-22,28,CLIC
2014-10-23,0,CLIC
2014-10-24,0,CLIC
2014-10-25,0,CLIC
2014-10-26,0,CLIC
2014-10-27,0,CLIC
2014-10-28,0,CLIC
2014-10-29,0,CLIC
2014-10-30,0,CLIC
2014-10-31,0,CLIC
2014-11-01,0,CLIC
2014-11-02,0,CLIC
2014-11-03,0,CLIC
2014-11-04,0,CLIC
2014-11-05,12,CLIC
2014-11-06,20,CLIC
2014-11-07,17,CLIC
2014-11-08,0,CLIC
2014-11-09,0,CLIC
2014-11-10,0,CLIC
2014-11-11,0,CLIC
2014-11-12,0,CLIC
2014-11-13,0,CLIC
2014-11-14,0,CLIC
2014-11-15,0,CLIC
2014-11-16,0,CLIC
2014-11-17,0,CLIC
2014-11-18,0,CLIC
2014-11-19,0,CLIC
2014-11-20,0,CLIC
2014-11-21,0,CLIC
2014-11-22,0,CLIC
2014-11-23,0,CLIC
2014-11-24,0,CLIC
2014-11-25,0,CLIC
2014-11-26,0,CLIC
2014-11-27,0,CLIC
2014-11-28,0,CLIC
2014-11-29,0,CLIC
2014-11-30,0,CLIC
2014-12-01,1,CLIC
2014-12-02,4,CLIC
2014-12-03,0.5,CLIC
2014-12-04,0,CLIC
2014-12-05,0,CLIC
2014-12-06,6,CLIC
2014-12-07,10,CLIC
2014-12-08,6,CLIC
2014-12-09,7,CLIC
2014-12-10,3,CLIC
2014-12-11,1,CLIC
2014-12-12,0,CLIC
2014-12-13,0.5,CLIC
2014-12-14,0,CLIC
2014-12-15,0.5,CLIC
2014-12-16,10,CLIC
2014-12-17,0.5,CLIC
2014-12-18,2,CLIC
2014-12-19,5,CLIC
2014-12-20,5,CLIC
2014-12-21,0,CLIC
2014-12-22,0,CLIC
2014-12-23,0,CLIC
2014-12-24,0,CLIC
2014-12-25,0,CLIC
2014-12-26,0,CLIC
2014-12-27,11,CLIC
2014-12-28,0,CLIC
2014-12-29,0,CLIC
2014-12-30,10,CLIC
2014-12-31,6,CLIC
2015-01-01,2,CLIC
2015-01-02,2,CLIC
2015-01-03,0,CLIC
2015-01-04,0,CLIC
2015-01-05,1,CLIC
2015-01-06,0,CLIC
2015-01-07,4,CLIC
2015-01-08,0.5,CLIC
2015-01-09,1.5,CLIC
2015-01-10,2,CLIC
2015-01-11,0,CLIC
2015-01-12,6,CLIC
2015-01-13,6,CLIC
2015-01-14,2,CLIC
2015-01-15,0,CLIC
2015-01-16,0,CLIC
2015-01-17,0,CLIC
2015-01-18,0,CLIC
2015-01-19,0,CLIC
2015-01-20,0,CLIC
2015-01-21,1,CLIC
2015-01-22,0,CLIC
2015-01-23,0,CLIC
2015-01-24,0,CLIC
2015-01-25,0,CLIC
2015-01-26,0,CLIC
2015-01-27,0,CLIC
2015-01-28,0,CLIC
2015-01-29,1,CLIC
2015-01-30,0,CLIC
2015-01-31,1.5,CLIC
2015-02-01,7,CLIC
2015-02-02,12,CLIC
2015-02-03,3,CLIC
2015-02-04,0,CLIC
2015-02-05,2,CLIC
2015-02-06,0,CLIC
2015-02-07,0,CLIC
2015-02-08,0,CLIC
2015-02-09,0,CLIC
2015-02-10,0,CLIC
2015-02-11,0.5,CLIC
2015-02-12,48,CLIC
2015-02-13,0.5,CLIC
2015-02-14,2,CLIC
2015-02-15,0,CLIC
2015-02-16,0,CLIC
2015-02-17,0,CLIC
2015-02-18,0,CLIC
2015-02-19,0,CLIC
2015-02-20,0,CLIC
2015-02-21,0,CLIC
2015-02-22,6,CLIC
2015-02-23,8,CLIC
2015-02-24,1.5,CLIC
2015-02-25,0,CLIC
2015-02-26,10,CLIC
2015-02-27,7,CLIC
2015-02-28,2,CLIC
2015-03-01,2,CLIC
2015-03-02,3,CLIC
2015-03-03,0,CLIC
2015-03-04,0,CLIC
2015-03-05,0,CLIC
2015-03-06,0,CLIC
2015-03-07,0,CLIC
2015-03-08,11,CLIC
2015-03-09,1,CLIC
2015-03-10,32,CLIC
2015-03-11,1,CLIC
2015-03-12,2,CLIC
2015-03-13,6,CLIC
2015-03-14,3,CLIC
2015-03-15,3,CLIC
2015-03-16,4,CLIC
2015-03-17,14,CLIC
2015-03-18,0,CLIC
2015-03-19,0.5,CLIC
2015-03-20,20,CLIC
2015-03-21,2,CLIC
2015-03-22,0,CLIC
2015-03-23,0,CLIC
2015-03-24,0,CLIC
2015-03-25,0,CLIC
2015-03-26,0,CLIC
2015-03-27,0,CLIC
2015-03-28,0,CLIC
2015-03-29,0,CLIC
2015-03-30,0,CLIC
2015-03-31,0,CLIC
2015-04-01,0,CLIC
2015-04-02,0,CLIC
2015-04-03,23,CLIC
2015-04-04,11,CLIC
2015-04-05,1,CLIC
2015-04-06,0,CLIC
2015-04-07,0.5,CLIC
2015-04-08,0.5,CLIC
2015-04-09,0,CLIC
2015-04-10,2,CLIC
2015-04-11,9,CLIC
2015-04-12,8,CLIC
2015-04-13,0,CLIC
2015-04-14,1,CLIC
2015-04-15,1,CLIC
2015-04-16,0,CLIC
2015-04-17,0,CLIC
2015-04-18,0,CLIC
2015-04-19,0,CLIC
2015-04-20,8,CLIC
2015-04-21,1,CLIC
2015-04-22,0,CLIC
2015-04-23,16,CLIC
2015-04-24,0,CLIC
2015-04-25,0,CLIC
2015-04-26,0,CLIC
2015-04-27,0,CLIC
2015-04-28,0,CLIC
2015-04-29,0,CLIC
2015-04-30,0,CLIC
2015-05-01,0,CLIC
2015-05-02,0,CLIC
2015-05-03,3,CLIC
2015-05-04,5,CLIC
2015-05-05,2,CLIC
2015-05-06,2,CLIC
2015-05-07,0,CLIC
2015-05-08,2,CLIC
2015-05-09,5,CLIC
2015-05-10,0,CLIC
2015-05-11,56,CLIC
2015-05-12,7,CLIC
2015-05-13,0,CLIC
2015-05-14,1,CLIC
2015-05-15,17,CLIC
2015-05-16,0,CLIC
2015-05-17,16,CLIC
2015-05-18,1,CLIC
2015-05-19,0,CLIC
2015-05-20,0.5,CLIC
2015-05-21,3,CLIC
2015-05-22,0,CLIC
2015-05-23,9,CLIC
2015-05-24,0,CLIC
2015-05-25,0,CLIC
2015-05-26,0,CLIC
2015-05-27,0,CLIC
2015-05-28,0,CLIC
2015-05-29,0,CLIC
2015-05-30,56,CLIC
2015-05-31,0,CLIC
2015-06-01,0,CLIC
2015-06-02,0,CLIC
2015-06-03,0,CLIC
2015-06-04,0,CLIC
2015-06-05,17,CLIC
2015-06-06,0,CLIC
2015-06-07,0,CLIC
2015-06-08,0,CLIC
2015-06-09,0,CLIC
2015-06-10,0,CLIC
2015-06-11,0,CLIC
2015-06-12,0,CLIC
2015-06-13,0,CLIC
2015-06-14,1,CLIC
2015-06-15,0,CLIC
2015-06-16,0,CLIC
2015-06-17,12,CLIC
2015-06-18,46,CLIC
2015-06-19,25,CLIC
2015-06-20,29,CLIC
2015-06-21,8,CLIC
2015-06-22,3,CLIC
2015-06-23,0,CLIC
2015-06-24,0,CLIC
2015-06-25,0,CLIC
2015-06-26,0,CLIC
2015-06-27,1,CLIC
2015-06-28,0,CLIC
2015-06-29,0,CLIC
2015-06-30,0,CLIC
2015-07-01,0.5,CLIC
2015-07-02,1.5,CLIC
2015-07-03,0,CLIC
2015-07-04,0,CLIC
2015-07-05,0,CLIC
2015-07-06,0,CLIC
2015-07-07,0,CLIC
2015-07-08,0,CLIC
2015-07-09,0,CLIC
2015-07-10,0,CLIC
2015-07-11,0,CLIC
2015-07-12,0,CLIC
2015-07-13,0,CLIC
2015-07-14,0,CLIC
2015-07-15,0,CLIC
2015-07-16,0,CLIC
2015-07-17,0,CLIC
2015-07-18,0,CLIC
2015-07-19,0,CLIC
2015-07-20,0,CLIC
2015-07-21,0,CLIC
2015-07-22,0,CLIC
2015-07-23,0,CLIC
2015-07-24,0,CLIC
2015-07-25,0,CLIC
2015-07-26,0,CLIC
2015-07-27,0,CLIC
2015-07-28,0,CLIC
2015-07-29,0,CLIC
2015-07-30,0,CLIC
2015-07-31,0,CLIC
2015-08-01,0,CLIC
2015-08-02,0,CLIC
2015-08-03,0,CLIC
2015-08-04,0,CLIC
2015-08-05,0,CLIC
2015-08-06,0,CLIC
2015-08-07,0,CLIC
2015-08-08,0,CLIC
2015-08-09,0,CLIC
2015-08-10,0,CLIC
2015-08-11,0,CLIC
2015-08-12,12,CLIC
2015-08-13,0,CLIC
2015-08-14,0,CLIC
2015-08-15,11,CLIC
2015-08-16,0,CLIC
2015-08-17,0,CLIC
2015-08-18,0,CLIC
2015-08-19,1.5,CLIC
2015-08-20,1,CLIC
2015-08-21,0,CLIC
2015-08-22,0,CLIC
2015-08-23,0,CLIC
2015-08-24,9,CLIC
2015-08-25,0,CLIC
2015-08-26,5,CLIC
2015-08-27,0,CLIC
2015-08-28,0,CLIC
2015-08-29,0,CLIC
2015-08-30,0,CLIC
2015-08-31,8,CLIC
2015-09-01,0,CLIC
2015-09-02,0,CLIC
2015-09-03,0,CLIC
2015-09-04,0,CLIC
2015-09-05,0,CLIC
2015-09-06,0,CLIC
2015-09-07,0,CLIC
2015-09-08,0,CLIC
2015-09-09,0,CLIC
2015-09-10,0,CLIC
2015-09-11,85,CLIC
2015-09-12,0,CLIC
2015-09-13,0,CLIC
2015-09-14,0,CLIC
2015-09-15,0,CLIC
2015-09-16,0,CLIC
2015-09-17,0,CLIC
2015-09-18,0,CLIC
2015-09-19,22,CLIC
2015-09-20,0,CLIC
2015-09-21,0,CLIC
2015-09-22,0,CLIC
2015-09-23,0,CLIC
2015-09-24,0,CLIC
2015-09-25,16,CLIC
2015-09-26,0,CLIC
2015-09-27,0,CLIC
2015-09-28,0,CLIC
2015-09-29,0,CLIC
2015-09-30,0,CLIC
2015-10-01,0,CLIC
2015-10-02,0,CLIC
2015-10-03,0,CLIC
2015-10-04,5,CLIC
2015-10-05,4,CLIC
2015-10-06,7,CLIC
2015-10-07,1,CLIC
2015-10-08,0,CLIC
2015-10-09,4,CLIC
2015-10-10,0,CLIC
2015-10-11,0,CLIC
2015-10-12,0,CLIC
2015-10-13,12,CLIC
2015-10-14,0,CLIC
2015-10-15,0,CLIC
2015-10-16,15,CLIC
2015-10-17,0,CLIC
2015-10-18,0,CLIC
2015-10-19,0,CLIC
2015-10-20,0,CLIC
2015-10-21,10,CLIC
2015-10-22,0,CLIC
2015-10-23,8,CLIC
2015-10-24,11,CLIC
2015-10-25,0,CLIC
2015-10-26,0,CLIC
2015-10-27,0,CLIC
2015-10-28,0,CLIC
2015-10-29,4,CLIC
2015-10-30,2,CLIC
2015-10-31,0,CLIC
2015-11-01,0,CLIC
2015-11-02,0,CLIC
2015-11-03,0,CLIC
2015-11-04,0,CLIC
2015-11-05,0,CLIC
2015-11-06,2,CLIC
2015-11-07,8,CLIC
2015-11-08,2,CLIC
2015-11-09,0,CLIC
2015-11-10,0,CLIC
2015-11-11,0,CLIC
2015-11-12,0,CLIC
2015-11-13,4,CLIC
2015-11-14,4,CLIC
2015-11-15,5,CLIC
2015-11-16,0,CLIC
2015-11-17,0,CLIC
2015-11-18,0,CLIC
2015-11-19,0,CLIC
2015-11-20,0,CLIC
2015-11-21,0,CLIC
2015-11-22,0,CLIC
2015-11-23,0,CLIC
2015-11-24,0,CLIC
2015-11-25,0,CLIC
2015-11-26,0,CLIC
2015-11-27,10,CLIC
2015-11-28,6,CLIC
2015-11-29,2,CLIC
2015-11-30,1,CLIC
2015-12-01,0,CLIC
2015-12-02,0,CLIC
2015-12-03,0,CLIC
2015-12-04,0,CLIC
2015-12-05,0,CLIC
2015-12-06,0,CLIC
2015-12-07,0,CLIC
2015-12-08,0,CLIC
2015-12-09,0,CLIC
2015-12-10,0,CLIC
2015-12-11,0,CLIC
2015-12-12,0,CLIC
2015-12-13,0,CLIC
2015-12-14,0,CLIC
2015-12-15,0,CLIC
2015-12-16,0,CLIC
2015-12-17,0,CLIC
2015-12-18,0,CLIC
2015-12-19,0,CLIC
2015-12-20,0,CLIC
2015-12-21,0,CLIC
2015-12-22,0,CLIC
2015-12-23,0,CLIC
2015-12-24,0,CLIC
2015-12-25,0,CLIC
2015-12-26,0,CLIC
2015-12-27,0,CLIC
2015-12-28,0,CLIC
2015-12-29,0,CLIC
2015-12-30,0,CLIC
2015-12-31,4,CLIC
2016-01-01,5,CLIC
2016-01-02,9,CLIC
2016-01-03,0,CLIC
2016-01-04,0,CLIC
2016-01-05,0,CLIC
2016-01-06,0,CLIC
2016-01-07,0,CLIC
2016-01-08,0,CLIC
2016-01-09,0,CLIC
2016-01-10,0,CLIC
2016-01-11,0,CLIC
2016-01-12,0,CLIC
2016-01-13,1,CLIC
2016-01-14,0,CLIC
2016-01-15,0,CLIC
2016-01-16,0,CLIC
2016-01-17,0,CLIC
2016-01-18,0,CLIC
2016-01-19,0,CLIC
2016-01-20,0,CLIC
2016-01-21,0,CLIC
2016-01-22,0,CLIC
2016-01-23,0,CLIC
2016-01-24,0,CLIC
2016-01-25,0,CLIC
2016-01-26,12,CLIC
2016-01-27,4,CLIC
2016-01-28,0,CLIC
2016-01-29,0,CLIC
2016-01-30,0,CLIC
2016-01-31,0,CLIC
2016-02-01,0,CLIC
2016-02-02,0,CLIC
2016-02-03,0,CLIC
2016-02-04,0,CLIC
2016-02-05,0,CLIC
2016-02-06,0,CLIC
2016-02-07,0,CLIC
2016-02-08,0,CLIC
2016-02-09,0,CLIC
2016-02-10,0,CLIC
2016-02-11,0,CLIC
2016-02-12,0,CLIC
2016-02-13,0,CLIC
2016-02-14,0,CLIC
2016-02-15,0,CLIC
2016-02-16,0,CLIC
2016-02-17,0,CLIC
2016-02-18,0,CLIC
2016-02-19,0,CLIC
2016-02-20,0,CLIC
2016-02-21,1.5,CLIC
2016-02-22,0,CLIC
2016-02-23,0,CLIC
2016-02-24,0,CLIC
2016-02-25,0,CLIC
2016-02-26,0,CLIC
2016-02-27,2,CLIC
2016-02-28,0,CLIC
2016-02-29,1.5,CLIC
2016-03-01,5,CLIC
2016-03-02,0,CLIC
2016-03-03,0,CLIC
2016-03-04,0,CLIC
2016-03-05,0,CLIC
2016-03-06,0,CLIC
2016-03-07,0,CLIC
2016-03-08,0,CLIC
2016-03-09,4,CLIC
2016-03-10,3,CLIC
2016-03-11,0,CLIC
2016-03-12,0,CLIC
2016-03-13,0,CLIC
2016-03-14,0,CLIC
2016-03-15,0,CLIC
2016-03-16,0,CLIC
2016-03-17,0,CLIC
2016-03-18,2,CLIC
2016-03-19,4,CLIC
2016-03-20,0,CLIC
2016-03-21,0,CLIC
2016-03-22,0,CLIC
2016-03-23,0,CLIC
2016-03-24,0,CLIC
2016-03-25,0,CLIC
2016-03-26,0,CLIC
2016-03-27,1,CLIC
2016-03-28,10,CLIC
2016-03-29,0,CLIC
2016-03-30,0,CLIC
2016-03-31,0,CLIC
2016-04-01,0,CLIC
2016-04-02,0,CLIC
2016-04-03,0,CLIC
2016-04-04,0,CLIC
2016-04-05,0,CLIC
2016-04-06,0,CLIC
2016-04-07,0.5,CLIC
2016-04-08,3,CLIC
2016-04-09,0,CLIC
2016-04-10,0,CLIC
2016-04-11,0,CLIC
2016-04-12,0,CLIC
2016-04-13,2,CLIC
2016-04-14,3,CLIC
2016-04-15,2,CLIC
2016-04-16,0,CLIC
2016-04-17,0,CLIC
2016-04-18,4,CLIC
2016-04-19,2,CLIC
2016-04-20,0,CLIC
2016-04-21,0,CLIC
2016-04-22,23,CLIC
2016-04-23,2,CLIC
2016-04-24,0,CLIC
2016-04-25,0,CLIC
2016-04-26,0,CLIC
2016-04-27,0,CLIC
2016-04-28,0,CLIC
2016-04-29,0,CLIC
2016-04-30,0,CLIC
2016-05-01,40,CLIC
2016-05-02,1,CLIC
2016-05-03,0,CLIC
2016-05-04,0,CLIC
2016-05-05,0,CLIC
2016-05-06,0,CLIC
2016-05-07,0.5,CLIC
2016-05-08,0,CLIC
2016-05-09,0,CLIC
2016-05-10,0,CLIC
2016-05-11,0,CLIC
2016-05-12,0,CLIC
2016-05-13,2,CLIC
2016-05-14,0,CLIC
2016-05-15,27,CLIC
2016-05-16,0,CLIC
2016-05-17,38,CLIC
2016-05-18,7,CLIC
2016-05-19,1,CLIC
2016-05-20,1.5,CLIC
2016-05-21,3,CLIC
2016-05-22,0,CLIC
2016-05-23,0,CLIC
2016-05-24,0,CLIC
2016-05-25,0,CLIC
2016-05-26,0,CLIC
2016-05-27,8,CLIC
2016-05-28,0.5,CLIC
2016-05-29,0,CLIC
2016-05-30,4,CLIC
2016-05-31,2,CLIC
2016-06-01,10,CLIC
2016-06-02,12,CLIC
2016-06-03,0,CLIC
2016-06-04,25,CLIC
2016-06-05,0,CLIC
2016-06-06,0,CLIC
2016-06-07,0,CLIC
2016-06-08,0,CLIC
2016-06-09,0,CLIC
2016-06-10,0,CLIC
2016-06-11,0,CLIC
2016-06-12,0,CLIC
2016-06-13,0,CLIC
2016-06-14,0,CLIC
2016-06-15,0,CLIC
2016-06-16,0,CLIC
2016-06-17,0,CLIC
2016-06-18,0,CLIC
2016-06-19,2,CLIC
2016-06-20,2,CLIC
2016-06-21,0,CLIC
2016-06-22,0,CLIC
2016-06-23,0,CLIC
2016-06-24,0,CLIC
2016-06-25,0,CLIC
2016-06-26,0,CLIC
2016-06-27,3,CLIC
2016-06-28,0,CLIC
2016-06-29,0,CLIC
2016-06-30,0,CLIC
2016-07-01,0,CLIC
2016-07-02,0,CLIC
2016-07-03,0,CLIC
2016-07-04,0,CLIC
2016-07-05,0,CLIC
